Date,Description,Category,Subcategory,Amount,Payer
2024-03-01,March rent,Housing,Rent,2200,Joint
2024-03-02,Electric bill,Utilities,Electric,120.45,Joint
2024-03-02,Home supplies,Other,Household,59.25,Partner 1
2024-03-03,Grocery run at Fresh Market,Groceries,Weekly Groceries,185.32,Partner 1
2024-03-04,Pharmacy prescriptions,Healthcare,Prescriptions,94.88,Joint
2024-03-05,Water and sewer,Utilities,Water,62.18,Joint
2024-03-05,Student loan payment,Debt Payments,Student Loans,350,Joint
2024-03-06,Date night dinner,Dining Out,Restaurants,84.75,Partner 1
2024-03-07,Renters insurance,Insurance,Renters,28.1,Joint
2024-03-08,Gas fill-up,Transportation,Fuel,54.21,Partner 2
2024-03-09,Streaming subscriptions,Entertainment,Streaming,44.97,Joint
2024-03-10,Trader Joe's groceries,Groceries,Weekly Groceries,164.87,Partner 2
2024-03-11,Haircuts,Personal Care,Haircare,69.4,Partner 2
2024-03-12,Internet service,Utilities,Internet,74.99,Joint
2024-03-13,Birthday gift,Gifts,Birthdays,74.9,Partner 1
2024-03-14,Lunch near office,Dining Out,Restaurants,27.8,Partner 2
2024-03-15,Monthly transit pass,Transportation,Transit,89,Partner 1
2024-03-16,Movie tickets,Entertainment,Movies,31.5,Partner 1
2024-03-17,Costco stock-up,Groceries,Bulk Stock,210.55,Joint
2024-03-18,Automatic savings transfer,Savings,Automatic Transfers,600,Joint
2024-03-19,Dentist cleaning,Healthcare,Dental,180,Partner 2
2024-03-20,Auto insurance,Insurance,Auto,239.54,Joint
2024-03-21,Credit card payment,Debt Payments,Credit Cards,220,Joint
2024-03-22,Coffee meetup,Dining Out,Coffee Shops,17.65,Partner 1
2024-03-23,Concert tickets,Entertainment,Live Events,110,Partner 2
2024-03-24,Farmer's market produce,Groceries,Produce,44.6,Partner 2
2024-03-25,Oil change,Transportation,Maintenance,59.43,Joint
2024-03-26,Weekend getaway hotel,Travel,Lodging,180,Partner 2
2024-03-26,Weekend getaway dining,Travel,Food,95.42,Partner 2
2024-03-27,Gym membership,Personal Care,Fitness,55,Partner 1
2024-03-28,Life insurance premium,Insurance,Life,95.3,Joint
2024-03-29,Charity donation,Other,Charitable Giving,80,Joint
2024-03-31,Emergency fund transfer,Savings,Emergency Fund,650,Joint
2025-10-02,Testing,Dining Out,Coffee Shops,25,Partner 1
